"meth","lhs","op","rhs","est","se","2.5%","97.5%"
"unwt","AGE","~~","FAMILY__1",-0.0020159543048094,0.01046020814837,-0.0235337624811976,0.0177084290911628
"unwt","AGE","~~","FRIEND__1",0.00840961067805585,0.0171518469916801,-0.0256610950782619,0.0401548838593871
"unwt","AGE","~~","INCOME",0.0061907198026385,0.0076831945722289,-0.00875479722852543,0.0208190359731977
"unwt","AGE","~~","LONELY__2",0.00428519735258936,0.0093446249328231,-0.0137157509523157,0.0218398006420667
"unwt","AGE","~~","LONELY__2_x_FAMILY__2",-0.0139373567358765,0.00788885493440377,-0.0293255759129498,0.00168264208925967
"unwt","AGE","~~","LONELY__2_x_FRIEND__2",0.00810696740724154,0.0122221547642975,-0.0151325676914598,0.0320884861234442
"unwt","FAMILY__1","~~","FRIEND__1",0.114431126130749,0.0206014735395444,0.0738643297554601,0.153096824120762
"unwt","FAMILY__1","~~","LONELY__2",-0.00591884183892044,0.0097847282515811,-0.0259467791458822,0.0123695836719075
"unwt","FAMILY__1","~~","LONELY__2_x_FAMILY__2",-0.00533125277481752,0.0085629863687164,-0.0206847362050131,0.0123403981969069
"unwt","FAMILY__1","~~","LONELY__2_x_FRIEND__2",-0.0273864566204192,0.0121594294512768,-0.0515940946876043,-0.00319923406794012
"unwt","FAMILY__2","~","AGE",-0.00741606821807276,0.0428505119453473,-0.0933450978341251,0.078351753579058
"unwt","FAMILY__2","~","FAMILY__1",-0.053722569215128,0.0617409035348352,-0.167210382815063,0.0621230027644879
"unwt","FAMILY__2","~","FRIEND__1",0.0323614907265408,0.0343788854437047,-0.0318736517902719,0.0981521539401483
"unwt","FAMILY__2","~","GENDER",0.0150250393057432,0.0436097688418989,-0.0651692474579186,0.101438664327217
"unwt","FAMILY__2","~","INCOME",-0.00997800363228329,0.049007197966528,-0.106691455131424,0.0888378662418315
"unwt","FAMILY__2","~","LONELY__1",0.0031945463025508,0.0441951156449073,-0.0854561798947694,0.0901362098275255
"unwt","FAMILY__2","~","LONELY__1_x_FAMILY__1",0.0410600001120091,0.0793849818928402,-0.112122093450134,0.194603751947518
"unwt","FAMILY__2","~","LONELY__1_x_FRIEND__1",-0.0551737914951145,0.0465305504112844,-0.14489415717919,0.0372888245713473
